key,en,ar
global_indicators:16-7-1-title,"Proportions of positions (by sex, age, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions",نسبة الوظائف (بحسب العمر، والجنس، والأشخاص ذوي الإعاقة، والفئات السكانية) في المؤسسات العامة (الهيئات التشـريعية الوطنية والمحلية، والخدمة العامة، والسـلطة القضائية) مقارنة بمستويات التوزيع على الصعيد الوطن
global_indicators:16-7-2-title,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",نسـبة السكان الذين يعتقدون أن صنع القرار عملية شاملة للجميع وملبية للاحتياجات، بحسب الجنس والعمر والإعاقة والفئة السكانية
global_indicators:16-8-1-title,Proportion of members and voting rights of developing countries in international organizations,نسبة عضوية البلدان النامية في المنظمات الدولية وحقوقها في التصويت في تلك المنظمات
global_indicators:16-9-1-title,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",نسبة الأطفال دون سن الخامسة الذين سُجلت ولاداتهم في قيد السجل المدني، بحسب العمر
global_indicators:16-a-1-title,Existence of independent national human rights institutions in compliance with the Paris Principles,وجود مؤسسات وطنية مستقلة لحقوق الإنسان وفقا لمبادئ باريس
global_indicators:16-b-1-title,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,نسبة السكان الذين أبلغوا عن تعرضهم شخصيا لممارسات تمييزية أو تحرش خلال الاثني عشر شهرا السابقة لأسباب يحظر القانون الدولي لحقوق الإنسان التمييز على أساسها
global_indicators:17-1-1-title,"Total government revenue as a proportion of GDP, by source",مجموع الإيرادات الحكومية الإجمالية كنسبة من الناتج المحلي الإجمالي، بحسب المصدر 
global_indicators:17-1-2-title,Proportion of domestic budget funded by domestic taxes,نسبة الميزانية المحلية الممولة من الضرائب المحلية
global_indicators:17-10-1-title,Worldwide weighted tariff-average,المتوسط المرجح للتعريفات الجمركية في جميع أنحاء العال
global_indicators:17-11-1-title,Developing countries’ and least developed countries’ share of global exports,حصة البلدان النامية وأقل البلدان نمواً من الصادرات العالمية
global_indicators:17-12-1-title,"Average tariffs faced by developing countries, least developed countries and small island developing States",متوسط التعريفات الجمركية التي تواجههـا البلـدان النامية وأقل البلدان نموا والدول الجزرية الصغيرة النامية
global_indicators:17-13-1-title,Macroeconomic Dashboard,لوحة متابعة حالة الاقتصاد الكلي
global_indicators:17-14-1-title,Number of countries with mechanisms in place to enhance policy coherence of sustainable development,عدد البلدان التي لديها آليات لتعزيز اتساق سياسات التنمية المستدامة
global_indicators:17-15-1-title,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation, مدى استخدام أطر النتائج وأدوات التخطيط المملوكة للبلدان من جانب مقدمي التعاون الإنمائي
global_indicators:17-16-1-title,Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,عدد البلدان التي أبلغت عن إحراز تقدم في ما يتعلق بأطر رصد فعالية التنمية لأصحاب المصلحة المتعددين التي تدعم تحقيق أهداف التنمية المستدامة
global_indicators:17-17-1-title,Amount of United States dollars committed to public-private and civil society partnerships,المبلغ بدولارات الولايات المتحدة المرصـود لـ (أ) الشراكات بين القطاعين العام والخاص و (ب) شـراكات المجتمع المدني
global_indicators:17-18-1-title,"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics",نسبة مؤشرات التنمية المستدامة الموضوعة على الصعيد الوطني، وفقاً للمبادئ الأساسية للإحصاءات الرسمية
global_indicators:17-18-2-title,Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,عدد البلدان التي لديها تشريعات إحصائية على الصعيد الوطني والتي تتقيد بالمبادئ الأساسية للإحصاءات الرسمية
global_indicators:17-18-3-title,"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",عدد البلدان التي لديها خطة إحصـائية وطنية ممولة بالكامل وقيد التنفيذ، بحسب مصدر التمويل
global_indicators:17-19-1-title,Dollar value of all resources made available to strengthen statistical capacity in developing countries,القيمة الدولارية لجميع الموارد المتاحة لتعزيز القدرات الإحصائية في البلدان النامية
global_indicators:17-19-2-title,Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,نسبة البلدان التي (أ) أجرت عداداً واحداً على الأقل للسكان المساكن في السنوات العشر الماضية؛ و(ب) حققت نسبة 100 في المائة في تسجيل المواليد ونسبة 80 في المائة في تسجيل الوفيات
global_indicators:17-2-1-title,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",صافي المسـاعدة الإنمائية الرسمية، ومجموعها، والمسـاعدةً، الإنمائية الرسمية المقدمة إلى أقل البلدان نمواً، كنسبة من الدخل القومي الإجمالي للجهات المانحة في لجنة المساعدة الإنمائية التابعة لمنظمة التعاون والتنمية في الميدان الاقتصادي
global_indicators:17-3-1-title,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",الاسـتثمار المباشر الأجنبي والمساعدة الإنمائية الرسمية والتعاون في ما بين بلدان الجنوب كنسبة من إجمالي الميزانية المحلية
global_indicators:17-3-2-title,Volume of remittances (in United States dollars) as a proportion of total GDP,حجم التحويلات المالية (بدولارات الولايات المتحدة) كنسبة من مجموع الناتج المحلي الإجمال
global_indicators:17-4-1-title,Debt service as a proportion of exports of goods and services,تكاليف خدمة الدين كنسبة من صادرات السلع والخدمات
global_indicators:17-5-1-title,Number of countries that adopt and implement investment promotion regimes for least developed countries,عدد البلدان التي تعتمد وتنفذ نظماً لتشجيع الاستثمار لصالح أقل البلدان نمواً
global_indicators:17-6-1-title,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",عدد اتفاقات التعاون في مجالي العلوم و/أو التكنولوجيا المبرمة بين البلدان، بحسب نوع التعاون
global_indicators:17-6-2-title,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",الاشـتراكات في الإنترنت السلكي ذي النطاق العريض لكل 100 من السكان، بحسب السرعة
global_indicators:17-7-1-title,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",مجموع مبلغ التمويل المعتمـد للبلـدان النـاميـة من أجـل تعزيز تطوير تكنولوجيات ســليمة بيئياً ونقلها ونشــرها وتعميمها في البلدان النامية
global_indicators:17-8-1-title,Proportion of individuals using the Internet,نسبة الأفراد الذين يستخدمون الإنترنت
global_indicators:17-9-1-title,"Dollar value of financial and technical assistance (including through North-South, South‐South and triangular cooperation) committed to developing countries",القيمة الدولارية للمساعدة المالية والتقنية (بوسائل تشمل التعاون بين الشمال والجنوب وفي ما بين بلدان الجنوب والتعاون الثلاثي) المرصودة للبلدان النامية
global_indicators:2-1-1-title,Prevalence of undernourishment,معدل انتشار نقص التغذية
global_indicators:2-1-2-title,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",معدل انتشار انعدام الأمن الغذائي المتوسـط أو الشـديد وسط السكان، استنادا إلى مقياس المعاناة من انعدام الأمن الغذائي
global_indicators:2-2-1-title,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,معدل انتشار توقّف النمو (الطول بالنسبة للعمر <-2 نقطة من الانحراف المعياري عن متوسط معايير نمو الطفل لمنظمة الصحة العالمية) بين الأطفال دون سن الخامسة
global_indicators:2-2-2-title,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",معدل انتشار ســوء التغذية (الوزن بالنســبة للطول > 2+ أو < 2 -نقطة من الانحراف المعياري عن متوسط معايير نمو الطفل لمنظمة الصــحة العالمية) بين الأطفال دون سـن الخامسة، مصنفين حسب النوع (الهزال وزيادة الوزن)
global_indicators:2-3-1-title,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,حجم الإنتاج لكل وحـدة عمـل حسـب فئـات حجم المؤسسة الزراعية/الرعوية/الحرجية
global_indicators:2-3-2-title,"Average income of small-scale food producers, by sex and indigenous status",متوسـط دخل صغار منتجي الأغذية، بحسـب الجنس والوضع من حيث الانتماء إلى الشعوب الأصلية
global_indicators:2-4-1-title,Proportion of agricultural area under productive and sustainable agriculture,نسبة المساحة الزراعية المخصصة للزراعة المنتجة والمستدامة
global_indicators:2-5-1-title,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,عـدد الموارد الجينية النباتيـة والحيوانية للأغـذية والزراعة المودعة في مرافق للحفظ على المدى المتوسط أو الطويل 
global_indicators:2-5-2-title,"Proportion of local breeds classified as being at risk, not at risk or at unknown level of risk of extinction", نسـبة السـلالات المحلية التي تصـنف على أنها معرضة للخطر، أو غير معرضـة للخطر، أو تقف عند مسـتوى غير معروف لخطر انقراضها
global_indicators:2-a-1-title,The agriculture orientation index for government expenditures,مؤشر التوجه في المجال الزراعي للنفقات الحكومية
global_indicators:2-a-2-title,Total official flows (official development assistance plus other official flows) to the agriculture sector,مجموع التدفقات الرسمية (المسـاعدة الإنمائية الرسمية مضـافا إليها تدفقات رسمية أخرى) إلى القطاع الزراعي
global_indicators:2-b-1-title,Agricultural export subsidies,إعانات الصادرات الزراعية
global_indicators:2-c-1-title,Indicator of food price anomalies,مؤشر مفارقات أسعار الأغذية
global_indicators:3-1-1-title,Maternal mortality ratio,نسبة الوفيات النفاسية 
global_indicators:3-1-2-title,Proportion of births attended by skilled health personnel,نسبة الولادات التي يشرف عليها أخصائيون صحّيون مَهَرة 
global_indicators:3-2-1-title,Under‐five mortality rate,معدل وفيات الأطفال دون سن الخامسة
global_indicators:3-2-2-title,Neonatal mortality rate,معدل وفيات المواليد
global_indicators:3-3-1-title,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","عدد الإصـابات الجديدة بفيروس نقص المناعة البشـرية لكل 1,000 شـخص غير مصاب من السكان بحسـب الجنس والعمر والفئات الرئيسية من السكان "
global_indicators:3-3-2-title,"Tuberculosis incidence per 100,000 population","معدل انتشار داء السل لكل 100,000 شخص"
global_indicators:3-3-3-title,"Malaria incidence per 1,000 population","دد حالات الإصابة بالملاريا لكل 1,000 شخص"
global_indicators:3-3-4-title,"Hepatitis B incidence per 100,000 population","عدد الإصـابات بأمراض التهاب الكبد الوبائي باء لكل 100,000 من السكان"
global_indicators:3-3-5-title,Number of people requiring interventions against neglected tropical diseases,عدد الأشـخاص الذين يسـتلزمون تدخلات لمكافحة الأمراض المدارية المهملة
global_indicators:3-4-1-title,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",معدل الوفيات الناجمة عن أمراض القلب والأوعية الدموية والسرطان وداء السكري والأمراض التنفسية المزمنة 
global_indicators:3-4-2-title,Suicide mortality rate, معدل وفيات الانتحار
global_indicators:3-5-1-title,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",نطاق تغطية التـدخلات العلاجية (الخدمات الدوائية والنفسانية وخدمات إعـادة التأهيـل والرعاية اللاحقـة) لمعالجة الاضطرابات الناشئة عن تعاطي المواد المخدرة
global_indicators:3-5-2-title,"Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",الاستعمال الضار للكحول، محدداً وفقاً للظروف الوطنية في إطار استهلاك الفرد الواحد من الكحول (سن 15 سنة فأكثر) في سنة تقويمية، باللترات من الكحول الصافي
global_indicators:3-6-1-title,Death rate due to road traffic injuries,معدلات الوفيات الناجمة عن الإصابات جراء حوادث المرور على الطرق
global_indicators:3-7-1-title,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods,نسبة النساء اللاتي في سن الإنجاب (49-15 سنة) واللاتي لُبّيت حاجتُهن إالى تنظيم الأسرة بطرق حديثة 
global_indicators:3-7-2-title,"Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group","معدل الولادات لدى المراهقات (10-14 سنة؛ و 15-19 سنة) لكل 1,000 امرأة في تلك الفئة العمرية"
global_indicators:3-8-1-title,"Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",تغطية توافر الخدمات الصحية الأساسية (المعرَّفة باعتبارها متوسط التغطية التي توفر الخدمات الأساسية المستندة إالى الإجراءات الكاشفة التي تشمل الصحة الإنجابية، وصحة الأمهات، والمواليد الجدد، والأطفال، والأمراض المعدية، والأمراض غير المعدية، والقدرة على توفير الخدمات، وإمكانية الوصول إاليها لدى السكان عموماً والأشد حرماناً خصوصاً) 
global_indicators:3-8-2-title,Proportion of population with large household expenditures on health as a share of total household expenditure or income,نسبة السكان الذين تصرف أسرهم المعيشية نفقات كبيرة على الصـحة محسـوبة كحصـة من مجموع إنفاق الأسـر المعيشـية أو دخلها
global_indicators:3-9-1-title,Mortality rate attributed to household and ambient air pollution, معدل الوفيات المنسـوبة إلى الأســر المعيشــية وتلوث الهواء المحيط
global_indicators:3-9-2-title,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",معدل الوفيات المنسـوب إلى المياه غير المأمونة، وخدمات الصـرف الصحي غير المأمونة والافتقار إلى المرافق الصـحية (التعرض لخدمات غير مأمونة في توفير المياه وخدمات الصـرف الصـحي والنظافة الصحية للجميع)
global_indicators:3-9-3-title,Mortality rate attributed to unintentional poisoning,معدل الوفيات المنسوب إلى التسمم غير المتعمد
global_indicators:3-a-1-title,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,معدل الانتشار الموحد السن لاستعمال التبغ حالياً لدى الأشخاص الذين تبلغ أعمارهم 15 سنة فأكثر
global_indicators:3-b-1-title,Proportion of the target population covered by all vaccines included in their national programme,نسـبة السـكان المسـتهدفين المســتفيدين من جميع اللقاحات المشمولة بالبرنامج الوطني لبلدهم 
global_indicators:3-b-2-title,Total net official development assistance to medical research and basic health sectors,مجموع صـافي المساعدة الإنمائية الرسمية المقدمة إلى القطاعات الصحية الأساسية والبحوث الطبية 
global_indicators:3-b-3-title,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,نســبة المرافق الصـحية المتاحة فيها مجموعة أساسـية من الأدوية الضرورية التي تفي بالغرض بكلفة ميسورة على الدوام
global_indicators:3-c-1-title,Health worker density and distribution,معدل كثافة الأخصائيين الصحيين وتوزيعهم
global_indicators:3-d-1-title,International Health Regulations (IHR) capacity and health emergency preparedness,القـدرة على تنفيـذ اللوائح الصـحيـة الـدوليـة، والجـاهزيـة لمواجهة حالات الطوارئ الصحية
global_indicators:4-1-1-title,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",نســبة الأطفال والشــباب (أ) في الصــف الثاني/الثالث؛  و (ب) في نهـايـة المرحلـة الابتـدائيـة؛ و (ج) في نهـايـة المرحلـة الأولى من التعليم الثـــانوي، الـذين يحققون على الأقـــل الحـــد الأدنى من مستوى الكفاءة في ’1 ’القراءة، و’2 ’الرياضيات، بحسب الجنس
global_indicators:4-2-1-title,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex",نســـــبة الأطفال دون الخامسة الذين هم ماضـون على المسار الصـحيح من حيث النمو في مجالات الصحة، والتعلم، والرفاه النفسي والاجتماعي، بحسب الجنس
global_indicators:4-2-2-title,"Participation rate in organized learning (one year before the official primary entry age), by sex",معدل المشاركة في التعلُّم المنظَّم (قبل سنة واحدة من سن الالتحاق الرسمي بالتعليم الابتدائي)، بحسب الجنس
global_indicators:4-3-1-title,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex", معـدل مشـاركـة الشــبـاب والكبـار في التعليم الرسمي ً وغير الرسمي السـابقـة، والتـدريــب خلال الاثني عشـر شـهرا بحسب الجنس
global_indicators:4-4-1-title,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",نسـبة الشـباب والبالغين الذين تتوافر لديهم مهارات تكنولوجيا المعلومات والاتصالات، بحسب نوع المهار
global_indicators:4-5-1-title,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",مؤشرات التكافؤ (أنثى/ذكر، وريفي/حضري، وأدنى/أعلى خمس السكان ثراء، وفئات أخرى مثل ذوي الإعاقة وأفراد الشعوب الأصـلية، والمتضـررين من النزاعات، متى توافرت البيانات عن ذلك) لجميع مؤشرات التعليم المندرجة في هذه القائمة، التي يمكن تصنيفها
global_indicators:4-6-1-title,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",نسـبة السـكان في فئة عمرية معينة الذين يحققون على الأقل مسـتوى ثابتا من الكفاءة في المهارات الوظيفية المتصـلة بما يلي: (أ) الأمية و (ب) الحساب، بحسب الجنس
global_indicators:4-7-1-title,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment",مدى تعميم ‘1 ‘تعليم المواطنة العالمية و ‘2‘ التعليم من أجل التنمية المسـتدامة، بما في ذلك المساواة بين الجنسين وحقوق الإنسان، وذلك على جميع الصعد في (أ) السياسات التعليمية على الصعيد الوطني و؛ (ب) المناهج الدراسية ؛ و (ج) تدريب المعلمين؛ و(د) تقييم الطلاب
global_indicators:4-a-1-title,Proportion of schools with access to (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions),نسـبة المدارس التي تحصـل على (أ) الطاقة الكهربائية؛ و(ب) شــبكة الإنترنت لأغراض تعليمية؛ و (ج) أجهزة حاسـوبية لأغراض التعليم؛ و (د) بنى تحتية ومواد ملائمة لاحتياجات الطلاب ذوي الإعاقة؛ و (هـــ) مياه الشـرب الأسـاسـية؛ و (و) مرافق صـحية أسـاسية غير مختلطة؛ و (ز) مرافق أسـاسـية لغسـل الأيدي (وفق التعاريف الواردة في مؤشــر توفير المياه وخدمات الصـرف الصحي والنظافة الصحية للجميع)
global_indicators:4-b-1-title,Volume of official development assistance flows for scholarships by sector and type of study,حجم تدفقات المسـاعدة الإنمائية الرسمية لتقديم المنح الدراسية، بحسب القطاع ونوع الدراسة
global_indicators:4-c-1-title,Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,نسـبة المعلمين في (أ) مرحلة ما قبل التعليم الابتدائي؛ و(ب) التعليم الابتدائي؛ و (ج) التعليم الإعدادي؛ و (د) التعليم الثانوي، الذين حصلوا على الأقل على الحد الأدنى من التدريب المنظَّم للمعلمين (كالتدريـب التربوي)، قبل الخـدمـة أو في أثنـاء الخدمة، اللازم للتدريس على المستوى المناسب في بلد معين
global_indicators:5-1-1-title,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",مـا إذا كـان ثمـة أطر قـانونيـة قـائمـة، أم لا، من أجـل تعزيز وإنفاذ ورصد المساواة وعدم التمييز على أساس الجنس
global_indicators:5-2-1-title,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",نسبة النساء المعاشـرات والفتيات في الخامسة عشــرة وما فوق، اللاتي تعرضن لعنف بدني أو جنسي أو نفسي من عشير حالي أو سـابق، خلال الاثني عشـر شـهراً السـابقة، مصـنفة بحسـب شكل العنف والعمر 
global_indicators:5-2-2-title,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",نسبة النساء والفتيات في الخامسة عشرة وما فوق اللاتي تعرضن لعنف جنسي من أشخاص غير العشير، خلال الاثني عشر شهراً السابقة، بحسب العمر ومكان حدوث العنف
global_indicators:5-3-1-title,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,نسبة النساء اللاتي تتراوح أعمارهن بين و 20 سن 24 ة، واللاتي تزوجن أو ارتبطن بقرين قبل بلوغ سن الخامسة عشـرة وقبل بلوغ سن الثامنة عشر
global_indicators:5-3-2-title,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age", نسـبة الفتيات والنساء اللاتي تتراوح أعمارهن بين 15و49 عاماً، واللاتي خضعن لعملية تشـويه/بتر الأعضاء التناسلية، بحسب العمر
global_indicators:5-4-1-title,"Proportion of time spent on unpaid domestic and care work, by sex, age and location",نسبة الوقت المخصص للأعمال المنزلية وأعمال الرعاية غير المدفوهة الأجر، بحسب الجنس والعمر والمكان
global_indicators:5-5-1-title,Proportion of seats held by women in (a) national parliaments and (b) local governments, نسـبة المقاعد التي تشغلها النساء في (أ) البرلمانات الوطنية، و (ب) الحكومات المحلية
global_indicators:5-5-2-title,Proportion of women in managerial positions,نسبة النساء في المناصب الإدارية
global_indicators:5-6-1-title,"Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",نســبة النسـاء اللاتي تتراوح أعمارهن بين 15 سـنة و49 ســنة واللاتي يتخذن بأنفسهن قرارات مسـتنيرة بشـأن العلاقات الجنسـية، واسـتخدام وسـائل منع الحمل، والرعاية المتعلقة بالصحة الإنجابية
global_indicators:5-6-2-title,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education", عـدد البلدان التي لديها قوانين وأنظمـة تكفـل حصـول النساء والرجال الذين في سن 15 سنة فأكثر على خدمات الرعاية والمعلومات والتثقيف في مجال الصحة الجنسـية والإنجابية على نحو كامل وعلى قدم المساواة
global_indicators:5-a-1-title,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",(أ) نســبة مجموع المزارعين الذين يمتلكون أراض زراعية أو لديهم حقوق مضمونة في الأراضي الزراعية، بحسـب الجنس؛ و (ب) حصة المرأة بين الملاّك أو أصحاب الحقوق في الأراضي الزراعية، بحسب نوع الحيازة
global_indicators:5-a-2-title,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,نسـبة البلدان التي يكفل فيها الإطار القانوني (بما في ذلك القانون العرفي) للمرأة المساواة في الحقوق في ملكية الأراضي و/أو السيطرة عليها 
global_indicators:5-b-1-title,"Proportion of individuals who own a mobile telephone, by sex",نســبة الأفراد الذين يملكون الهاتف المحمول، حســب نوع الجنس
global_indicators:5-c-1-title,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,نسـبة البلدان التي لديها نظم لتخصيص وتتبع المخصصات العامة المرصودة للمساواة بين الجنسين وتمكين المرأة
global_indicators:6-1-1-title,Proportion of population using safely managed drinking water services,نسبة السكان الذين يستفيدون من خدمات مياه الشرب التي تدار بطريقة مأمونة
global_indicators:6-2-1-title,"Proportion of population using safely managed sanitation services, including a handwashing facility with soap and water",نسبة السـكان الذين يســتفيدون (أ) من الإدارة الســليمة لخدمات الصـرف الصحي و (ب) مرافق غسـل اليدين بالصابون والمياه
global_indicators:6-3-1-title,Proportion of wastewater safely treated,نسبة مياه الصرف الصحي المعالجة بطريقة آمنة
global_indicators:6-3-2-title,Proportion of bodies of water with good ambient water quality,نسبة الكتل المائية الآتية من مياه محيطة ذات نوعية جيدة
global_indicators:6-4-1-title,Change in water-use efficiency over time,التغير في كفاءة استخدام المياه على مدى فترة من الزمن 
global_indicators:6-4-2-title,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,حجم الضغط الذي تتعرض له المياه: سحب المياه العذبة كنسبة من موارد المياه العذبة المتاحة
global_indicators:6-5-1-title,Degree of integrated water resources management implementation (0 to 100),درجة تنفيذ الإدارة المتكاملة للموارد المائية (صفر-100)
global_indicators:6-5-2-title,Proportion of transboundary basin area with an operational arrangement for water cooperation,نسبة مناطق أحواض المياه العابرة للحدود التي لها ترتيبات تنفيذية تتعلق بالتعاون في مجال المياه
global_indicators:6-6-1-title,Change in the extent of water-related ecosystems over time,نسبة التغير في نطاق النظم الإيكولوجية المتصلة بالمياه خلال فترة من الزمن
global_indicators:6-a-1-title,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,مقدار المساعدة الإنمائية الرسمية المتصلة بالمياه والصرف الصحي التي تعد جزءاً من خطة إنفاق تتولى الحكومة تنسيقها
global_indicators:6-b-1-title,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,نسـبة الوحدات الإدارية المحلية التي لديها سـياسات وإجراءات تنفيذية راسـخة في ما يتعلق بمشــاركة المجتمعات المحلية في إدارة خدمات المياه والصرف الصحي
global_indicators:7-1-1-title,Proportion of population with access to electricity,نسبة السكان المستفيدين من خدمات الكهرباء
global_indicators:7-1-2-title,Proportion of population with primary reliance on clean fuels and technology,نسبة السكان الذي يعتمدون أساسياً على الوقود التكنولوجيا النظيفين
global_indicators:7-2-1-title,Renewable energy share in the total final energy consumption,حصة الطاقة المتجددة في مجموع الاسـتهلاك النهائي للطاقة
global_indicators:7-3-1-title,Energy intensity measured in terms of primary energy and GDP, كثـافة الطـاقة التي تقـاس من حيـث الطـاقة الأوليـة والنـاتج المحلي الإجمال
global_indicators:7-a-1-title,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",التـدفقـات الماليـة الدوليـة الموجهـة إلى البلـدان النـاميـة لدعم أنشـطة البحث والتطوير في مجالات الطاقة النظيفة وإنتاج الطاقة المتجددة، بما في ذلك النظم الهجينة
global_indicators:7-b-1-title,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,الاســتثمارات في مجال كفاءة الطاقة كنسـبة من الناتج المحلي الإجمالي ومبلغ الاستثمار المباشر الأجنبي، في شكل تحويلات مالية، من أجـل توفير الهياكـل الأسـاسـية والتكنولوجيا اللازمة لأغراض التنمية المستدامة
global_indicators:8-1-1-title,Annual growth rate of real GDP per capita,معدل النمو السـنوي للناتج المحلي الإجمالي الحقيقي للفرد الواحد
global_indicators:8-10-1-title,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","(أ) عدد فروع المصارف التجارية لكل 100,000 شخص بالغ، و (ب) عدد أجهزة الصرف الآلي لكل 100,000 شخص بالغ"
global_indicators:8-10-2-title,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,نسـبة البالغين ( 15 سـنة فأكثر) الذين لهم حساب مصـرفي أو حسـاب في مؤسـسة مالية أخرى أو لدى مقدم خدمات مالية متنقلة
global_indicators:8-2-1-title,Annual growth rate of real GDP per employed person, معدل النمو السنوي في الناتج المحلي الإجمالي لكل شخص عامل
global_indicators:8-3-1-title,"Proportion of informal employment in non‐agriculture employment, by sex",نســبة العمالة غير الرسمية في غير العمالة الزراعية، بحسب الجنس
global_indicators:8-4-1-title,"Material footprint, material footprint per capita, and material footprint per GDP",الأثر المادي ونصـيب الفرد من الأثر المادي ونصـيب الناتج المحلي الإجمالي من الأثر المادي
global_indicators:8-4-2-title,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",الاسـتهلاك المادي المحلي ونصـيب الفرد من الاسـتهلاك المادي المحلي ونسـبة الاستهلاك المادي المحلي إلى الناتج المحلي الإجمال
