key,en,kk
global_indicators:17-3-1-title,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget","Тікелей шетел инвестициялары (ТШИ), ұлттық жиынтық бюджетке пайыздық қатынастағы дамыту мақсатында ресми көмек беру және Оңтүстік-Оңтүстік ынтымақтастығы"
global_indicators:17-3-2-title,Volume of remittances (in United States dollars) as a proportion of total GDP, ЖІӨ-ге пайыздық қатынастағы аудару көлемдері (АҚШ долларында) 
global_indicators:17-4-1-title,Debt service as a proportion of exports of goods and services, ЖІӨ-ге пайыздық қатынастағы мемлекеттік борышқа қызмет көрсету шығындары (алдыңғы редакция: тауарлар мен қызметтер экспортына)
global_indicators:17-5-1-title,Number of countries that adopt and implement investment promotion regimes for least developed countries, Аз дамыған елдердің мүдделерінде инвестицияларды қолдану тәртіптері қабылданған және қолданылатын елдер саны
global_indicators:17-6-1-title,"Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",Ынтымақтастық түрлерінің бөлінісіндегі елдер арасындағы келісімдер мен ғылыми және/немесе техникалық ынтымақтастық бағдарламаларының саны
global_indicators:17-6-2-title,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed","Кең жолақты Ғаламтордың стандартты абоненттерінің саны, жылдамдық бойынша топтастыру "
global_indicators:17-7-1-title,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies","Экологиялық қауіпсіз технологияларды әзірлеу, тапсыру, тарату және меңгеруге жәрдемдесу мақсатында дамушы елдерге бекітілген қаржыландырудың жалпы сомасы "
global_indicators:17-8-1-title,Proportion of individuals using the Internet,Интернетті пайдаланатын халық үлесі 
global_indicators:17-9-1-title,"Dollar value of financial and technical assistance (including through North-South, South‐South and triangular cooperation) committed to developing countries","Дамушы елдерге қаржылық және техникалық көмектің долларлық көлемі (соның ішінде Солтүстік-Оңтүстік, Оңтүстік-Оңтүстік және үш жақты ынтымақтастық аясында көрсетілетін көмек)"
global_indicators:2-1-1-title,Prevalence of undernourishment,Жеткілікті тамақтанбаудың таралуы
global_indicators:2-1-2-title,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","Бірқалыпты немесе өткір халықтық азық-түліктік қауіпсіздіктің болмауының деңгейі (""Азық-түліктік қауіпсіздіктің болмауын сезіну шәкілі"" бойынша)"
global_indicators:2-2-1-title,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,"Бес жасқа дейінгі балалардың бойының өсіуіндегі кідірістің таралуы (Дүниежүзілік денсаулық сақтау ұйымы (ДДСҰ) белгілеген балалардың өсу нормаларына сәйкес бала жасына медианалық бой көрсеткішінен орташа квадраттық ауытқу, <-2)"
global_indicators:2-2-2-title,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","Түрлері бойынша  (жүдеу немесе семіру) бөлінісінде бес жасқа дейінгі балалар арасында толыққанды емес таамақтанудың таралуы(ДДСҰ белгілеген балалардың өсу нормаларына сәйкес бала жасына медианалық салмақ көрсеткішінен орташа квадраттық ауытқу, >+2 немесе <-2)"
global_indicators:2-3-1-title,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Фермерлік шаруашылық/ мал шаруашылығы/ орман шаруашылығы кәсіпорындарының өлшемдерінің кластары бойынша бөлінісіндегі еңбек бірлігіне өндіріс көлемі.
global_indicators:2-3-2-title,"Average income of small-scale food producers, by sex and indigenous status",Жынысы және байырғы халықтарға тиесілілік мәртебесі бойынша бөліністегі ұсақ азық-түлік өнімдерін өндірушілердің орташа табысы
global_indicators:2-4-1-title,Proportion of agricultural area under productive and sustainable agriculture, Ауыл шаруашылығын жүргізудің өнімді және сарқылмайтын әдістері қолданылатын ауыл шаруашылық алқаптары алаңының үлесі  
global_indicators:2-5-1-title,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Орташа мерзімді немесе ұзақ мерзімді арнайы сақтау объектілерінде сақталатын азық-түлік және ауылшаруашылығы өндірісіне арналғаншығу тегі өсімдік және зоологиялық болып табылатын генетикалық ресурстар саны
global_indicators:2-5-2-title,"Proportion of local breeds classified as being at risk, not at risk or at unknown level of risk of extinction",Жоғалу қаупі бар: жоғалу қаупі жоқ; жоғалу қаупінің деңгейі белгісіз санаттарға жататын жануарлар түрлерінің үлесі
global_indicators:2-a-1-title,The agriculture orientation index for government expenditures,Мемлекеттік шығыстар құрылымы бойынша анықталатын ауыл шаруашылыққа бейімделу индексі
global_indicators:2-a-2-title,Total official flows (official development assistance plus other official flows) to the agriculture sector,Ауыл шаруашылыққа ресми қаражаттың бірлескен ағыны (дамыту мақсатындағы ресми көмек және ресми қаражаттың басқа да ағындары)
global_indicators:2-b-1-title,Agricultural export subsidies,Ауылшаруашылығы өнімдерінің экспортын субсидиялау
global_indicators:2-c-1-title,Indicator of food price anomalies,Азық-түлік нарығындағы баға ауытқушылығының көрсеткіші
global_indicators:3-1-1-title,Maternal mortality ratio,Ана өлім-жетімінің коэффициенті
global_indicators:3-1-2-title,Proportion of births attended by skilled health personnel,Білікті медициналық қызметкерлердің босандыру үлесі 
global_indicators:3-2-1-title,Under‐five mortality rate,Бес жасқа дейінгі балалар өлім-жетімінің коэффициенті 
global_indicators:3-2-2-title,Neonatal mortality rate,Неонатальдық өлім-жетімінің коэффициенті 
global_indicators:3-3-1-title,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations", 100 000 мың адам бойынша жаңадан анықталған АИТВ мөлшері
global_indicators:3-3-2-title,"Tuberculosis incidence per 100,000 population",100 000 адам бойынша туберкулезбен ауыру
global_indicators:3-3-3-title,"Malaria incidence per 1,000 population",100 000 адам бойынша безгекпен ауыру
global_indicators:3-3-4-title,"Hepatitis B incidence per 100,000 population",100 000 адам бойынша В гепатитімен ауыру
global_indicators:3-3-5-title,Number of people requiring interventions against neglected tropical diseases,Ұмытылған тропикалық аурулардан емделуді қажет ететін адамдар саны  
global_indicators:3-4-1-title,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Жүрек-қан тамырлары ауруларынан, қатерлі ісіктен, диабеттен, созылмалы респираторлық сырқаттардан өлім-жітім "
global_indicators:3-4-2-title,Suicide mortality rate,Өзіне өзі қол жұмсаудан өлім-жітім
global_indicators:3-5-1-title,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders"," Психикалық белсенді заттарды тұтынудан болған сырқаттарды емдеу (дәрі-дәрмек, психикалық-әлеуметтік және сауықтыру қызметтері және әрі қарай күту бойынша қызметтер)"
global_indicators:3-5-2-title,"Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",Күнтізбелік жылына таза спирт литрі бойынша алкоголь тұтыну (15 жастан бастап жан басына шаққандағы алкоголь тұтынуының ұлттық ерекшеліктеріне сәйкес анықталады)
global_indicators:3-6-1-title,Death rate due to road traffic injuries,Жол-көлік оқиғаларының нәтижесіндегі өлім-жітім
global_indicators:3-7-1-title,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods,Отбасын жоспарлау бойынша қажеттіліктері заманауи әдістермен қанағаттандырылатын репродуктивті қабілетті жастағы әйелдер үлесі (15 жастан 49 жасқа дейін) 
global_indicators:3-7-2-title,"Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group","Берілген жас тобында 1,000 әйелге жасөспірім  арасында қыздар (10 бастап 14 жасқа дейінгі; 15 бастап 19 жасқа дейін) туу көрсеткіші "
global_indicators:3-8-1-title,"Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","Негізгі медициналық-санитарлық қызметтермен қамту       (репродуктивті денсаулықты сақтау, ана мен бала денсаулығын сақтау, жұқпалы ауруларды емдеу, жұқпалы емес ауруларды емдеу және қызметтердің халықтың кең ауқымына және анағұрлым қолайсыз жағдайдағы халық топтарына қолжетімділігі кіретін қадағаланатын үрдістер бойынша негізгі қызметтерді орташа қамту ретінде анықталады)"
global_indicators:3-8-2-title,Proportion of population with large household expenditures on health as a share of total household expenditure or income,Үй шаруашылығының шығындары немесе табыстарының жалпы көлемінде медициналық көмекке кететін отбасылық шығыстардың көп үлес салмағы мен халық үлесі 
global_indicators:3-9-1-title,Mortality rate attributed to household and ambient air pollution,Тұрғын үй-жайлардағы ауаның және атмосфералық ауаның ластануынан өлім-жітім
global_indicators:3-9-2-title,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","Қауіпсіз су, қауіпсіз санитария және гигиенаның болмауынан (барлығы үшін сумен қамсыздандыру, санитария және гигиена саласындағы қауіпсіз қызметтердің болмауынан (СҚСГ) өлім-жітім) "
global_indicators:3-9-3-title,Mortality rate attributed to unintentional poisoning,Абайсыз уланудан өлім-жітім
global_indicators:3-a-1-title,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,15 жастан басталатын адамдардың темекі тұтынуының жас бойынша стандартты таралуы 
global_indicators:3-b-1-title,Proportion of the target population covered by all vaccines included in their national programme,Ұлттық бағдарламаларға енген барлық вакциналармен иммундаумен қамтылған халықтың нысаналы тобының үлесі 
global_indicators:3-b-2-title,Total net official development assistance to medical research and basic health sectors,Медициналық зерттеу және денсаулық сақтаудың негізгі салаларына бағытталған даму мақсатындағы ресми көмектің жалпы таза көлемі 
global_indicators:3-b-3-title,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,Үнемі негізгі қажетті және қолжетімді дәрілік заттары бар медициналық мекемелердің үлесі 
global_indicators:3-c-1-title,Health worker density and distribution,Бір адамға шаққандағы медициналық қзыметкерлер саны және оларды үйлестіру
global_indicators:3-d-1-title,International Health Regulations (IHR) capacity and health emergency preparedness,Халықаралық медициналық-санитарлық ережелерді (ХМСЕ) сақтау қабілеттілігі және қоғамдық денсаулық сақтау саласындағы төтенше жағдайларға дайын болу
global_indicators:4-1-1-title,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","Балалар мен жастар үлесі: а) 2-ші/3-ші сыныптағы, b) бастауыш мектеп бітірушілері және с) жынысы бойынша бөлінісінде кем дегенде і) ең төменгі сауаттылыққа ие және іі) есептеу машығына ие орта мектеп бітірушілері  "
global_indicators:4-2-1-title,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex","Жынысы бойынша бөлінісінде денсаулық, оқыту және психологиялық-әлеуметтік қолайлылық тұрғысынан ауытқуларсыз дамып жатқан бес жасқа дейінгі балалардың үлесі "
global_indicators:4-2-2-title,"Participation rate in organized learning (one year before the official primary entry age), by sex",Жынысы бойынша бөлінісіндегі оқытудың ұйымдастырылған түрлеріне қатысу деңгейі (мектепке баратын ресми жасқа жеткенге дейін бір жыл ішінде) 
global_indicators:4-3-1-title,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Жынысы бойынша бөлінісінде соңғы 12 айда ересектердің және жастардың ресми және ресми емес оқыту және кәсіби даярлық түрлеріне қатысу деңгейі. 
global_indicators:4-4-1-title,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Машық түрлері бойынша бөлінісіндегі ақпараттық коммуникациялық технологиялар саласында машықтанған жастар/ ересектер үлесі 
global_indicators:4-5-1-title,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","Осы тізбедегі білім беруге қатыстыдезагрегатталатын көрсеткіштерді құруға (әйелдер мен еркектердің, қалалық және ауылдық тұрғындардың, ауқаттылықтың жоғарғы және төменгі квантилі және басқа да топтардың, мысалы, мүгедектердің, байырғы тұрғындардың және мәліметтердің болуына байланысты жанжалға қатысы бар адамдардың) қатысты барлығы бойынша теңдік индекстері"
global_indicators:4-6-1-title,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",Жынысы бойынша бөлінісіндегі осы жас тобындағы кем дегенде функционалды а) сауаттылықтың  b) математикалық сауаттылықтың белгіленген деңгейіне жеткен халық үлесі.  4.6.2. жастар мен ересектердің сауаттылық деңгейі. 4.6.3. Жастар мен ересектердің сауаттылық бағдарламаларына қатысу деңгейі
global_indicators:4-7-1-title,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment"," і) дүниежүзілік азаматтылық рухында және іі) тұрақты даму насихатында тәрбиелеу мәртебесі, гендерлік теңдік пен барлық деңгейдегі адам құқықтарын қоса алғанда: а) білім беру саласындағы ұлттық саясат; b) оқу бағдарламаларында; с) мұғалімдерді даярлау бағдарламаларында; және d) білім алушыларды аттестациялау жүйесіндегі мәртебесі"
global_indicators:4-a-1-title,Proportion of schools with access to (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions),а) электр қуатымен; b) оқу мақсатында Интернет қызметтерімен; с) оқу мақсатындағы компьютерлермен; d) мүгедек оқушыларға бейімделген инфрақұрылым мен материалдармен; е) ауыз судың базалық көздерімен; f) ең қарапайым деңгейде қамсыздандырылған бөлек дәретханалармен; және g) қол жууға арналған базалық құралдармен (СҚСГ бастамасының көрсеткіштерінің анықтамасына сәйкес) қамсыздандырылған мектептер үлесі
global_indicators:4-b-1-title,Volume of official development assistance flows for scholarships by sector and type of study,Оқу бағдарламаларының секторлары мен түрлері бойынша бөлінісіндегі шәкіртақыларды төлеуге бағытталатын даму мақсатындағы ресми көмек көлемі
global_indicators:4-c-1-title,Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,"Жұмысқа дейінгі немесе жұмыс барысында берілген елдегі тиісті деңгейде кем дегенде ең төменгі ұйымдастырылған кәсіби ұстаздық даярлықтан (мысалы, педагогикалық) өткен: а) мектепке дейінгі мекемелердегі; b) арн. жоғ. біл. бар бастауыш мектептегі мұғалімдерге салыстырмалы пайыз болады; 4с.2. с) төменгі және орта мектептегі; және d) жоғарғы орта мектептегі (салыстырмалы жалпы білім беру мамандығының үлесі болады) мұғалімдер үлесі"
global_indicators:5-1-1-title,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex","Жыныс белгісі бойынша теңдікті және кемсітпеуді қолдау және қамтамасыз ету үшін нормативтік-құқықтық базаның болуы және АИТВ-мен ауыратын әйелдерді, мүгедектігі бар әйелдерді қоса алғанда осы саладағы жағдайды бақылау"
global_indicators:5-2-1-title,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age","Мүгедектігі бар әйелдерді қоса алғанда, зорлық түрлері мен жасы бойынша бөлуде соңғы 12 айда қазіргі немесе бұрынғы интимдік серіктесі тарапынан физикалық, сексуалдық немесе психологиялық қысымға ұшыраған, бір кездері серіктесі болған әйелдер мен 15 жастан асқан қыздардың үлесі"
global_indicators:5-2-2-title,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence","Мүгедектігі бар әйелдерді қоса алғанда, жасы мен оқиға орны бойынша бөлуде соңғы 12 айда интимдік серіктестерінен басқа әлдекім тарапынан сексуалдық зорлық көрсетуге ұшыраған әйелдер мен 15 жастан асқан қыздар үлесі"
global_indicators:5-3-1-title,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,"Мүгедектігі бар әйелдерді қоса алғанда, 15 жасқа дейін және 18 жасқа дейін некеге немесе некелік одаққа тұрған 20-дан 24 жасқа дейінгі әйелдер үлесі"
global_indicators:5-3-2-title,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age",Жасы бойынша бөлуде әйелдердің жыныс органдарына жарымжан ететін операцияларға/кесіп тастауға ұшыраған 15-тен 49 жасқа дейінгі қыздар мен әйелдердің үлесі
global_indicators:5-4-1-title,"Proportion of time spent on unpaid domestic and care work, by sex, age and location","Мүгедектігі бар әйелдерді қоса алғанда, жынысы, жасы және тұрғылықты жері бойынша бөлумен күтім жасау бойынша ақы төленбейтін еңбекке және үйдегі жұмысқа жұмсалатын уақыт үлесі"
global_indicators:5-5-1-title,Proportion of seats held by women in (a) national parliaments and (b) local governments,Әйелдердің а) ұлттық парламенттерде және b) жергілікті билік органдарында алатын орындарының үлесі
global_indicators:5-5-2-title,Proportion of women in managerial positions,Басшы лауазымдардағы әйелдер үлесі
global_indicators:5-6-1-title,"Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","Сексуалдық қатынастар, жүктілікке қарсы құралдарды қолдану және репродуктивті денсаулықты қорғау бойынша көрсетілетін қызметтерге жүгіну туралы шешімдерді өздігінен ойланып қабылдайтын 15-тен 49 жасқа дейінгі әйелдер үлесі"
global_indicators:5-6-2-title,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",15 жастан асқан әйелдер мен ерлерге сексуалды және репродуктивті денсаулықты қорғау бойынша көрсетілетін қызметтер мен ақпаратқа және осы саладағы білімге кепілдік беретін заңдар мен нормативтік актілер әрекет ететін елдер саны
global_indicators:5-a-1-title,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","a) Жынысы бойынша бөле отырып, ауыл шаруашылығымен айналысатын халықтың жалпы санында иелігінде ауыл шаруашылығы жерлері бар немесе оны пайдалануға кепілдендірілген құқығы бар адамдар үлесі және b) жер иелену құқығы бойынша бөле отырып, иелігінде ауыл шаруашылығы жерлері бар немесе оны иелену құқығын жүргізуші болып табылатын әйелдер үлесі"
global_indicators:5-a-2-title,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,Құқықтық базасы (соның ішінде кәдімгі құқық) әйелдерге жерді иеленуге және/немесе басқаруға тең құқыққа кепілдік беретін елдер үлесі
global_indicators:5-b-1-title,"Proportion of individuals who own a mobile telephone, by sex","Мүгедектігі бар әйелдерді қоса алғанда, жынысы бойынша бөлумен мобильді телефоны бар адамдар үлесі"
global_indicators:5-c-1-title,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment, Гендерлік теңдікті және әйелдердің құқықтары мен мүмкіндіктерін кеңейтуді қамтамасыз етуге және олар туралы деректерді жариялауға жұмсалған мемлекеттен бөлінген қаржыны қадағалау механизмдері
global_indicators:6-1-1-title,Proportion of population using safely managed drinking water services,Қауіпсіздік талаптарын сақтай отырып ұйымдастырылған сумен қамту қызметін пайдаланатын халықтың үлесі
global_indicators:6-2-1-title,"Proportion of population using safely managed sanitation services, including a handwashing facility with soap and water"," Сабынмен және сумен қол жууға арналған құрылғыларды қоса алғанда, қауіпсіздік талаптарын сақтаумен ұйымдастырылған санитария қызметтерін пайдаланатын халықтың үлесі"
global_indicators:6-3-1-title,Proportion of wastewater safely treated,Қауіпсіз тазартылатын ақаба сулар үлесі
global_indicators:6-3-2-title,Proportion of bodies of water with good ambient water quality, Су сапасы жақсы су қоймаларының үлесі
global_indicators:6-4-1-title,Change in water-use efficiency over time,Суды пайдалану тиімділігінің өзгеру динамикасы
global_indicators:6-4-2-title,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Су ресурстарына жүктеме деңгейі: тұщы судың қолда бар қорларына пайыздық қатынаста тұщы суды алу
global_indicators:6-5-1-title,Degree of integrated water resources management implementation (0 to 100),Су ресурстарын кешенді басқаруды енгізу дәрежесі (0-ден 100-ге дейін)
global_indicators:6-5-2-title,Proportion of transboundary basin area with an operational arrangement for water cooperation,Су пайдалану саласында ынтымақтастық туралы қолданыстағы уағдаластықпен қамтылған трансшекаралық су бассейндерінің үлесі
global_indicators:6-6-1-title,Change in the extent of water-related ecosystems over time,Сумен байланысты экожүйелер алаңының өзгеру динамикасы
global_indicators:6-a-1-title,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Даму мақсатында шығыстардың үйлестірілетін мемлекеттік бағдарламасы шеңберінде сумен қамтуға және санитарияға бөлінген ресми көмек көлемі
global_indicators:6-b-1-title,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Су ресурстары мен санитарияны басқаруға азаматтардың қатысу қағидалары мен рәсімдері әрекет ететін жергілікті әкімшілік бірліктердің үлесі
global_indicators:7-1-1-title,Proportion of population with access to electricity,Электр энергиясына қол жеткізуі бар халықтың үлесі
global_indicators:7-1-2-title,Proportion of population with primary reliance on clean fuels and technology,Таза отын көздерін және технологияларды қолданатын халықтың үлесі
global_indicators:7-2-1-title,Renewable energy share in the total final energy consumption,Негізінен отынның таза түрлері мен технологияларды пайдаланатын халықтың үлесі
global_indicators:7-3-1-title,Energy intensity measured in terms of primary energy and GDP,Бастапқы энергия шығысының ЖІӨ-ге қатынасы ретінде есептелетін энергиялық сыйымдылық
global_indicators:7-a-1-title,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems","«Таза» энергия саласындағы зерттеулер мен әзірлемелерді қолдау үшін дамушы елдерге түсетін халықаралық қаржы ағымының көлемін және құрамдастырылған жүйелерді қоса алғанда, жаңартылатын көздерде энергетиканы дамыту"
global_indicators:7-b-1-title,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,"ЖІӨ-ге пайыздық қатынаста энергия тиімділігін қамтамасыз етуде күрделі қаржы салымы мен тұрақты дамуды қамтамасыз ететін қызмет көрсету саласына, олардың инфрақұрылымын кеңейту мен технологияларды жаңғырту мақсаттарына түсетін қаржы қаражаттарындағы тікелей шетелдік инвестициялар үлесі"
global_indicators:8-1-1-title,Annual growth rate of real GDP per capita,Халықтың жан басына шаққанда нақты ЖІӨ-нің жыл сайынғы өсім қарқыны
global_indicators:8-10-1-title,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",a) коммерциялық банктер филиалдарының және b) 100 000 ересек адамға арналған банкоматтар саны
global_indicators:8-10-2-title,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Банкте немесе өзге де қаржылық мекемеде шоты бар немесе мобильді қаржылық қызмет операторлары көрсететін қызметтерді пайдаланатын ересектер үлесі (15 жастан асқан)
global_indicators:8-2-1-title,Annual growth rate of real GDP per employed person,
global_indicators:8-3-1-title,"Proportion of informal employment in non‐agriculture employment, by sex",Жынысы бойынша бөлуде ауыл шаруашылығы емес секторларда бейресми жұмыспен қамтылу үлесі
global_indicators:8-4-1-title,"Material footprint, material footprint per capita, and material footprint per GDP", Халықтың жан жасына шаққанда және ЖІӨ-ге пайыздық қатынаста жиынтық ресурс шығындары және ресурс шығындары
global_indicators:8-4-2-title,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",Халықтың жан жасына шаққанда және ЖІӨ-ге пайыздық қатынаста ішкі жиынтық материалдық тұтыну және ішкі материалдық тұтыну
global_indicators:8-5-1-title,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities","Жұмыс түрі, жасы мен мүгедектік белгілері бойынша бөлуде әйелдер мен ерлердің орташа сағаттық жалақысы"
global_indicators:8-5-2-title,"Unemployment rate, by sex, age and persons with disabilities","Жынысы, жасы және мүгедектік белгісі бойынша жұмыссыздық деңгейі"
global_indicators:8-6-1-title,"Proportion of youth (aged 15–24 years) not in education, employment or training","Оқымайтын, жұмыс істемейтін және кәсіби машық алмайтын жастар (15-тен 24 жасқа дейін) үлесі"
global_indicators:8-7-1-title,"Proportion and number of children aged 5–17 years engaged in child labour, by sex and age","Доля и число детей в возрасте от 5 до 17 лет, занятых детским трудом, в разбивке по полу и возрасту        "
global_indicators:8-8-1-title,"Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status",Жынысы және көші-қон мәртебесі бойынша бөлуде нәтижесі өлімге әкелетін және әкелмейтін өндірістік жарақат алушылық
global_indicators:8-8-2-title,"Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status",Жыныс және көші-қон мәртебесі бойынша бөлуде Халықаралық еңбек ұйымы (ХЕҰ) мен ұлттық заңнаманың құжаттамалық көздері негізінде ұлттық деңгейде (бірлестіктер еркіндігі және ұжымдық еңбек шарттарын бекіту) еңбек құқықтары сақталатын жағдайлар 
global_indicators:8-9-1-title,Tourism direct GDP as a proportion of total GDP and in growth rate,Жиынтық ЖІӨ-ге пайыздық қатынаста және өсім қарқыны бойынша туризмнің ЖІӨ-ге тікелей қосқан үлесі
global_indicators:8-9-2-title,Proportion of jobs in sustainable tourism industries out of total tourism jobs,Саладағы жұмыс орындарының жалпы санында тұрақты туризм индустриясында жұмыспен қамтылғандар үлесі
global_indicators:8-a-1-title,Aid for Trade commitments and disbursements, «Саудадағы көмек» бастамасы шеңберіндегі міндеттемелер мен төлемдер көлемі
global_indicators:8-b-1-title,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",Жеке стратегия ретінде жастарды жұмыспен қамтудың немесе жұмыспен қамту саласындағы ұлттық стратегия шеңберінде әзірленген және жүзеге асырылатын ұлттық стратегияның болуы
global_indicators:9-1-1-title,Proportion of the rural population who live within 2 km of an all-season road,Жыл бойғы жолдан 2 км шегінде тұратын ауыл  халқының үлесі 
global_indicators:9-1-2-title,"Passenger and freight volumes, by mode of transport","Жолаушы және жүк тасымалының көлемі, көлік түрлері бойынша топтастыру "
global_indicators:9-2-1-title,Manufacturing value added as a proportion of GDP and per capita,"Өңдеуші өнеркәсіпте құрылатын қосылған құн, ЖІӨ-ге пайыздық қатынаста және халықтың жан басына шаққанда "
global_indicators:9-2-2-title,Manufacturing employment as a proportion of total employment,Жалпы жұмыспен қамтудан пайызбен өңдеуші өнеркәсіптегі жұмыспен қамтылу
global_indicators:9-3-1-title,Proportion of small-scale industries in total industry value added, Өнеркәісіптегі таза өнімінің жиынтық көлеміндегі ұсақ кәсіпорындардың үлесі 
global_indicators:9-3-2-title,Proportion of small-scale industries with a loan or line of credit,Кредиті немесе кредиттік желісі бар ұсақ кәсіпорындар үлесі 
global_indicators:9-4-1-title,CO2 emission per unit of value added,Қосылған құн бірлігіне CO2 шығарындылар 
global_indicators:9-5-1-title,Research and development expenditure as a proportion of GDP,ЖІО-ге пайыздық қатынастағы ҒЗТҚЖ шығыстары 
global_indicators:9-5-2-title,Researchers (in full-time equivalent) per million inhabitants,ҒЗТҚЖ шығындарының жалпы көлеміндегі бизнес шығыстарының үлесі 
global_indicators:9-a-1-title,Total official international support (official development assistance plus other official flows) to infrastructure,Инфрақұрылымға бағытталатын ресми халықаралық қолдаудың жиынтық көлемі (дамыту мақсатындағы ресми көмек және ресми қаржыландырудың басқа да ағындары) 
global_indicators:9-b-1-title,Proportion of medium and high-tech industry value added in total value added,Қосылған құнның жалпы көлеміндегі орташа технологиялық және жоғары технологиялық салалардың өнімдеріне қосылған құн үлесі 
global_indicators:9-c-1-title,"Proportion of population covered by a mobile network, by technology","Технологиялар бойынша бөліністегі ұтқыр желілерімен қамтылған халық үлесі, "
calendar:January,January,Қаңтар
calendar:February,February,Ақпан
calendar:March,March,Наурыз
calendar:April,April,Сәуір
calendar:May,May,Мамыр
